Nome;Gênero;Cor_dos_olhos;Raça;Cor_do_cabelo;Altura_cm;Editora;Cor_da_pele;Alinhamento;Peso_kg;Altura_m;IMC
Jason Bourne;Masculino;unknown;Human;unknown;186.72630560928434;unknown;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Katniss Everdeen;Feminino;unknown;Human;unknown;186.72630560928434;unknown;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Flash Gordon;Masculino;unknown;unknown;unknown;186.72630560928434;unknown;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Jack Bauer;Masculino;unknown;unknown;unknown;186.72630560928434;unknown;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
The Cape;Masculino;unknown;unknown;unknown;186.72630560928434;unknown;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Chuck Norris;Masculino;unknown;unknown;unknown;178.0;unknown;unknown;bom;112.25252525252525;1.78;35.42877327752974
Deathstroke;Masculino;blue;Human;White;193.0;DC Comics;unknown;neutro;101.0;1.93;27.114821874412737
Robin VI;Feminino;green;Human;Red;186.72630560928434;DC Comics;unknown;neutro;112.25252525252525;1.8672630560928434;32.194753944178736
Indigo;Feminino;unknown;Alien;Purple;186.72630560928434;DC Comics;unknown;neutro;112.25252525252525;1.8672630560928434;32.194753944178736
Captain Cold;Masculino;brown;Human;Brown;186.72630560928434;DC Comics;unknown;neutro;112.25252525252525;1.8672630560928434;32.194753944178736
Man-Bat;Masculino;brown;Human;Brown;186.72630560928434;DC Comics;unknown;neutro;112.25252525252525;1.8672630560928434;32.194753944178736
Raven;Feminino;indigo;Human;Black;165.0;DC Comics;unknown;neutro;50.0;1.65;18.36547291092746
The Comedian;Masculino;brown;Human;Black;188.0;DC Comics;unknown;neutro;101.0;1.88;28.576278859212316
Red Hood;Masculino;blue;Human;Black;183.0;DC Comics;unknown;neutro;81.0;1.83;24.187046492878256
Black Flash;Masculino;unknown;God / Eternal;unknown;186.72630560928434;DC Comics;unknown;neutro;112.25252525252525;1.8672630560928434;32.194753944178736
Juggernaut;Masculino;blue;Human;Red;287.0;Marvel Comics;unknown;neutro;855.0;2.87;103.80118733989728
Deadpool;Masculino;brown;Mutant;No Hair;188.0;Marvel Comics;unknown;neutro;95.0;1.88;26.87867813490267
Sandman;Masculino;brown;Human;Brown;185.0;Marvel Comics;unknown;neutro;203.0;1.85;59.313367421475526
Sentry;Masculino;blue;Mutant;Blond;188.0;Marvel Comics;unknown;neutro;87.0;1.88;24.615210502489816
Galactus;Masculino;black;Cosmic Entity;Black;876.0;Marvel Comics;unknown;neutro;16.0;8.76;0.20850274181105483
One-Above-All;Desconhecido;unknown;Cosmic Entity;unknown;186.72630560928434;Marvel Comics;unknown;neutro;112.25252525252525;1.8672630560928434;32.194753944178736
Trickster;Masculino;blue;Human;Blond;183.0;DC Comics;unknown;unknown;81.0;1.83;24.187046492878256
Man of Miracles;Desconhecido;blue;God / Eternal;Silver;186.72630560928434;Image Comics;unknown;unknown;112.25252525252525;1.8672630560928434;32.194753944178736
Blackwulf;Masculino;red;Alien;White;188.0;Marvel Comics;unknown;unknown;88.0;1.88;24.898143956541425
Anti-Venom;Masculino;blue;Symbiote;Blond;229.0;Marvel Comics;unknown;unknown;358.0;2.29;68.26719551495967
Venompool;Masculino;unknown;Symbiote;unknown;226.0;Marvel Comics;unknown;unknown;112.25252525252525;2.26;21.97754821296211
Q;Masculino;unknown;God / Eternal;unknown;186.72630560928434;Star Trek;unknown;unknown;112.25252525252525;1.8672630560928434;32.194753944178736
Brundlefly;Masculino;unknown;Mutant;unknown;193.0;unknown;unknown;unknown;112.25252525252525;1.93;30.135715120546926
